,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,SCA▼,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
1,Kylian Mbappé,FW,fr France,23,1998,6.6,46,7.29,28,1,7,8,2,0,11,1.74,7,0,0,4,0,0,Matches,42fd9c7f
2,Lionel Messi,FW,ar Argentina,34,1987,7.7,43,6.14,28,5,3,1,5,1,5,0.71,4,0,1,0,0,0,Matches,d70ce98e
3,Antoine Griezmann,MF,fr France,31,1991,6.0,33,5.53,19,12,0,2,0,0,3,0.50,3,0,0,0,0,0,Matches,df69b544
4,Jamal Musiala,MFFW,de Germany,19,2003,2.9,22,7.67,15,0,4,2,1,0,1,0.35,1,0,0,0,0,0,Matches,2c0558b8
5,Luka Modrić,MF,hr Croatia,36,1985,7.3,21,3.03,14,5,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,6025fab1
6,Ángel Di María,MFFW,ar Argentina,34,1988,3.2,21,6.77,16,3,1,0,1,0,4,1.29,2,0,1,0,1,0,Matches,19cda00b
7,Hakim Ziyech,FW,ma Morocco,29,1993,7.1,20,2.97,11,6,3,0,0,0,3,0.45,2,0,1,0,0,0,Matches,6622454d
8,Joshua Kimmich,MFDF,de Germany,27,1995,3.0,20,6.67,15,3,0,1,0,1,3,1.00,3,0,0,0,0,0,Matches,49296448
9,Hirving Lozano,FW,mx Mexico,26,1995,2.8,20,7.14,13,2,1,0,4,0,0,0.00,0,0,0,0,0,0,Matches,a69e4806
10,Rodrigo De Paul,MF,ar Argentina,28,1994,6.7,19,2.85,17,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,162efffd
11,Raphinha,FW,br Brazil,25,1996,3.5,19,5.43,13,2,1,1,0,2,0,0.00,0,0,0,0,0,0,Matches,3423f250
12,Ivan Perišić,FWDF,hr Croatia,33,1989,7.4,17,2.39,11,0,2,4,0,0,3,0.42,3,0,0,0,0,0,Matches,6fe90922
13,Mateo Kovačić,MF,hr Croatia,28,1994,7.1,17,2.41,16,0,1,0,0,0,2,0.28,2,0,0,0,0,0,Matches,79c0821a
14,Theo Hernández,DF,fr France,24,1997,5.6,17,3.01,17,0,0,0,0,0,3,0.53,3,0,0,0,0,0,Matches,d4c9725f
15,Enzo Fernández,MF,ar Argentina,21,2001,6.3,17,3.04,15,0,2,0,0,0,4,0.71,3,0,1,0,0,0,Matches,5ff4ab71
16,Cody Gakpo,FWMF,nl Netherlands,23,1999,5.0,17,3.39,9,5,0,1,2,0,2,0.40,2,0,0,0,0,0,Matches,1971591f
17,Ousmane Dembélé,FW,fr France,25,1997,4.8,17,3.53,16,0,0,0,1,0,3,0.62,3,0,0,0,0,0,Matches,b19db005
