,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK▼,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Marcus Rashford,FW,eng England,25-045,1.eng Manchester Utd,1997,5,1,140,1.6,1.88,0.00,1.88,0.00,0.00,0.00,0.00,1.93,0.00,1.93,1.93,1.93,1.00,1.00,0.00,1.00,1.03,0.00,1.03,1.03,1.03,Matches,a1d5bd30
2,Gonçalo Ramos,FWMF,pt Portugal,21-178,1.pt Benfica,2001,4,2,152,1.7,1.76,0.59,1.76,0.00,0.00,0.00,0.00,1.78,0.59,2.37,1.78,2.37,0.94,0.94,0.24,1.12,0.93,0.21,1.13,0.93,1.13,Matches,f63cda26
3,Álvaro Morata,FW,es Spain,30-053,1.es Atlético Madrid,1992,4,1,185,2.1,1.43,0.48,1.43,0.00,0.00,0.00,0.00,1.46,0.49,1.95,1.46,1.95,0.67,0.67,0.10,0.76,0.79,0.14,0.93,0.79,0.93,Matches,129af0db
4,Vincent Aboubakar,FW,cm Cameroon,30-327,1.sa Al-Nassr,1992,3,1,142,1.6,1.25,0.63,1.25,0.00,0.00,1.25,0.63,1.27,0.63,1.90,1.27,1.90,0.37,0.37,0.37,0.75,0.37,0.39,0.76,0.37,0.76,Matches,8637e09a
5,Julián Álvarez,FWMF,ar Argentina,22-318,1.eng Manchester City,2000,6,4,362,4.0,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.99,0.00,0.99,0.99,0.99,0.65,0.65,0.03,0.65,0.64,0.02,0.66,0.64,0.66,Matches,15ab5a2b
6,Olivier Giroud,FW,fr France,36-076,1.it Milan,1986,5,5,379,4.2,0.95,0.00,0.95,0.00,0.00,0.00,0.00,0.95,0.00,0.95,0.95,0.95,0.81,0.81,0.02,0.83,0.80,0.04,0.84,0.80,0.84,Matches,16ceb862
7,Kylian Mbappé,FW,fr France,23-360,1.fr Paris S-G,1998,6,5,478,5.3,0.94,0.38,0.94,0.00,0.00,0.00,0.00,0.94,0.38,1.32,0.94,1.32,0.64,0.64,0.25,0.91,0.64,0.25,0.90,0.64,0.90,Matches,42fd9c7f
8,Bukayo Saka,FW,eng England,21-101,1.eng Arsenal,2001,4,4,288,3.2,0.94,0.00,0.94,0.00,0.00,0.00,0.00,0.94,0.00,0.94,0.94,0.94,0.19,0.19,0.22,0.41,0.20,0.20,0.40,0.20,0.40,Matches,bc7dc64d
9,Richarlison,FW,br Brazil,25-219,1.eng Tottenham,1997,4,4,323,3.6,0.83,0.00,0.83,0.00,0.00,0.00,0.00,0.84,0.00,0.84,0.84,0.84,0.58,0.58,0.28,0.86,0.59,0.27,0.86,0.59,0.86,Matches,fa031b34
10,Ritsu Doan,FW,jp Japan,24-182,1.de Freiburg,1998,4,2,217,2.4,0.83,0.00,0.83,0.00,0.00,0.00,0.00,0.83,0.00,0.83,0.83,0.83,0.21,0.21,0.08,0.29,0.21,0.07,0.28,0.21,0.28,Matches,d01bbb6f
11,Kudus Mohammed,FWMF,gh Ghana,22-135,1.nl Ajax,2000,3,3,247,2.7,0.74,0.00,0.74,0.00,0.00,0.37,0.00,0.73,0.00,0.73,0.73,0.73,0.30,0.30,0.00,0.30,0.30,0.00,0.30,0.30,0.30,Matches,b62878a5
12,Enner Valencia,FWMF,ec Ecuador,33-041,1.tr Fenerbahçe,1989,3,3,255,2.8,1.07,0.00,0.71,0.36,0.36,0.00,0.00,1.06,0.00,1.06,0.71,0.71,0.82,0.54,0.11,0.64,0.80,0.10,0.90,0.52,0.62,Matches,fb485406
13,Aleksandar Mitrović,FW,rs Serbia,28-090,1.eng Fulham,1994,3,3,262,2.9,0.69,0.00,0.69,0.00,0.00,0.34,0.00,0.69,0.00,0.69,0.69,0.69,0.55,0.55,0.24,0.83,0.57,0.24,0.81,0.57,0.81,Matches,3925dbd6
14,Salem Al-Dawsari,MF,sa Saudi Arabia,31-118,1.sa Al-Hilal,1991,3,3,270,3.0,0.67,0.00,0.67,0.00,0.33,0.33,0.00,0.67,0.00,0.67,0.67,0.67,0.60,0.33,0.07,0.40,0.59,0.08,0.67,0.32,0.40,Matches,60ee859c
